Pais_destino,Pais_origem,Quantidade,Valor
Chile,Brasil,585109920,1640525898.0
Argentina,Brasil,241638962,780197207.0
Portugal,Brasil,187610792,598777659.0
Itália,Brasil,147714104,449207919.0
França,Brasil,58992856,325923108.0
Espanha,Brasil,56237687,198251037.0
Uruguai,Brasil,32582462,78626521.0
Africa do Sul,Brasil,10755366,37512697.0
Estados Unidos,Brasil,7311707,34464533.0
Austrália,Brasil,5332097,21151920.0
Alemanha,Brasil,2143020,8471570.0
Nova Zelândia,Brasil,1169197,9195986.0
Áustria,Brasil,978125,2477892.0
Brasil,Brasil,917338,773596.0
Grécia,Brasil,553400,2347922.0
Israel,Brasil,363816,1560305.0
Hungria,Brasil,234533,1848838.0
Líbano,Brasil,223815,1425540.0
Bulgária,Brasil,197770,532671.0
Romênia,Brasil,145692,337257.0
Eslovênia,Brasil,135701,565294.0
Geórgia,Brasil,103124,271628.0
Turquia,Brasil,51401,166025.0
Rússia,Brasil,49662,131108.0
Tunísia,Brasil,44333,101302.0
Eslováquia,Brasil,33988,89804.0
Reino Unido,Brasil,32152,330927.0
Moldávia,Brasil,31830,75445.0
Croácia,Brasil,20942,114592.0
Porto Rico,Brasil,15780,16390.0
Suíça,Brasil,15617,113171.0
Ucrânia,Brasil,10830,13684.0
China,Brasil,8747,40729.0
México,Brasil,7821,68594.0
Marrocos,Brasil,7601,51033.0
Bélgica,Brasil,4553,47542.0
Canada,Brasil,4549,109365.0
Sérvia,Brasil,3471,8302.0
Peru,Brasil,3311,8811.0
Países Baixos,Brasil,3202,37049.0
Arábia Saudita,Brasil,3073,12053.0
Emirados Árabes Unidos,Brasil,2739,46720.0
"Ilhas Geórgia do Sul e Sandwich do Sul,",Brasil,1838,2915.0
Montenegro,Brasil,1701,5440.0
Macedônia,Brasil,1575,1371.0
Síria,Brasil,1523,1958.0
Bósnia-Herzegovina,Brasil,1218,902.0
San Marino,Brasil,1095,2237.0
Bolívia,Brasil,540,1348.0
Noruega,Brasil,401,280.0
Hong Kong,Brasil,311,2776.0
Indonesia,Brasil,294,1717.0
Irlanda,Brasil,286,2702.0
República Tcheca,Brasil,225,5528.0
Japão,Brasil,153,1429.0
Panamá,Brasil,17,96.0
Bermudas,Brasil,10,141.0
Luxemburgo,Brasil,5,85.0
Republica Dominicana,Brasil,2,56.0
